Time,Flow,Level
65.83333333,17225,273.004
66.03333333,17185,272.971
66.23333333,17127,272.922
66.41666667,17086,272.888
66.61666667,17015,272.829
66.81666667,16967,272.788
67.01666667,16917,272.746
67.21666667,16869,272.707
67.41666667,16806,272.653
67.61666667,16764,272.618
67.81666667,16711,272.573
68.01666667,16652,272.524
68.21666667,16591,272.473
68.41666667,16559,272.446
68.61666667,16506,272.401
68.81666667,16446,272.351
69.01666667,16385,272.299
69.21666667,16338,272.259
69.41666667,16293,272.221
69.61666667,16242,272.178
69.81666667,16184,272.129
70.01666667,16124,272.078
70.21666667,16060,272.024
70.41666667,15996,271.969
70.61666667,15946,271.927
70.81666667,15894,271.883
71.01666667,15831,271.829
71.21666667,15789,271.793
71.41666667,15727,271.74
71.6,15675,271.695
71.8,15618,271.647
72,15565,271.601
72.2,15520,271.563
72.4,15478,271.527
72.6,15428,271.484
72.8,15364,271.429
73,15314,271.387
73.2,15267,271.345
73.4,15203,271.291
73.6,15160,271.253
73.8,15095,271.198
74,15051,271.16
74.16666667,15042,271.152
74.33333333,15017,271.13
74.5,14972,271.092
74.66666667,14945,271.068
74.83333333,14912,271.039
75,14892,271.022
75.16666667,14853,270.989
75.33333333,14819,270.959
75.5,14784,270.929
75.66666667,14731,270.882
75.83333333,14699,270.855
76,14664,270.824
76.16666667,14615,270.781
76.33333333,14573,270.745
76.5,14519,270.698
76.66666667,14475,270.66
76.83333333,14439,270.628
77,14408,270.601
77.16666667,14376,270.573
78.16666667,14111,270.341
78.33333333,14054,270.291
78.5,14002,270.245
78.66666667,13956,270.205
78.83333333,13911,270.165
79,13862,270.122
79.16666667,13814,270.079
79.33333333,13760,270.032
79.5,13716,269.993
79.66666667,13678,269.959
79.83333333,13649,269.934
80,13612,269.901
80.16666667,13564,269.859
80.5,13471,269.776
80.66666667,13416,269.727
80.83333333,13368,269.684
81,13320,269.641
81.16666667,13264,269.591
81.33333333,13220,269.552
81.5,13193,269.528
81.66666667,13167,269.504
81.83333333,13122,269.464
82,13100,269.445
82.5,13032,269.384
82.66666667,12999,269.354
82.83333333,12967,269.326
83,12940,269.301
83.16666667,12910,269.274
83.33333333,12876,269.244
83.5,12844,269.215
83.66666667,12813,269.187
83.83333333,12779,269.157
84,12755,269.135
84.33333333,12694,269.08
84.5,12664,269.053
84.66666667,12644,269.035
85,12604,268.999
85.16666667,12588,268.984
85.66666667,12529,268.931
86,12501,268.906
86.16666667,12493,268.898
86.5,12459,268.868
86.83333333,12434,268.844
87,12413,268.825
87.33333333,12389,268.804
87.66666667,12359,268.776
87.83333333,12339,268.759
88,12328,268.748
88.16666667,12316,268.737
88.33333333,12307,268.729
88.66666667,12300,268.723
91,12299,268.722
91.33333333,12307,268.729
91.5,12310,268.732
91.66666667,12310,268.732
91.83333333,12313,268.734
92,12317,268.739
92.16666667,12317,268.739
92.33333333,12317,268.739
92.5,12317,268.739
92.66666667,12321,268.742
92.83333333,12321,268.742
93,12321,268.742
94,12262,268.689
94.33333333,12228,268.658
94.5,12223,268.653
94.66666667,12209,268.64
94.83333333,12198,268.63
95,12183,268.616
95.16666667,12172,268.606
95.66666667,12121,268.56
95.83333333,12095,268.536
96,12070,268.513
96.83333333,11986,268.436
97,11972,268.423
97.16666667,11961,268.413
97.5,11934,268.389
97.66666667,11917,268.373
97.83333333,11906,268.363
98,11897,268.355
98.33333333,11854,268.315
98.5,11834,268.296
98.66666667,11811,268.276
98.83333333,11776,268.244
99,11742,268.212
99.66666667,11640,268.118
99.83333333,11616,268.096
100,11577,268.06
100.8333333,11457,267.949
101,11427,267.921
101.1666667,11403,267.898
101.3333333,11381,267.878
101.8333333,11321,267.823
102,11303,267.806
102.1666667,11282,267.786
102.3333333,11259,267.765
102.5,11237,267.744
102.6666667,11212,267.721
102.8333333,11189,267.7
103,11173,267.685
103.1666667,11150,267.663
103.3333333,11118,267.633
103.8333333,11066,267.585
104,11053,267.573
104.1666667,11029,267.551
104.3333333,11015,267.538
104.6666667,10972,267.497
104.8333333,10950,267.476
105,10926,267.454
105.3333333,10893,267.423
105.6666667,10849,267.382
106,10807,267.342
106.3333333,10755,267.293
106.5,10733,267.273
106.6666667,10711,267.252
106.8333333,10693,267.234
107,10670,267.213
107.1666667,10647,267.191
107.3333333,10625,267.17
107.5,10599,267.147
107.6666667,10569,267.129
107.8333333,10537,267.111
108,10499,267.089
108.1666667,10464,267.069
108.3333333,10425,267.047
108.5,10391,267.027
109,10285,266.966
109.1666667,10238,266.939
109.3333333,10173,266.902
109.5,10131,266.877
110,9985,266.792
110.3333333,9868,266.723
110.5,9814,266.691
110.6666667,9757,266.657
110.8333333,9703,266.625
111,9630,266.581
111.1666667,9557,266.537
111.3333333,9484,266.493
111.5,9420,266.455
111.6666667,9359,266.418
112,9261,266.357
112.5,9154,266.292
112.6666667,9125,266.274
112.8333333,9085,266.25
113,9033,266.217
113.3333333,8946,266.163
113.5,8883,266.124
113.8333333,8770,266.052
114,8716,266.019
114.3333333,8585,265.935
114.5,8523,265.895
114.8333333,8398,265.815
115,8352,265.785
115.1666667,8275,265.735
115.3333333,8187,265.678
115.5,8081,265.607
115.6666667,7992,265.549
115.8333333,7936,265.511
116,7870,265.467
116.1666667,7805,265.424
116.3333333,7724,265.369
116.5,7647,265.317
116.6666667,7567,265.262
116.8333333,7478,265.201
117,7389,265.14
117.1666667,7318,265.094
117.5,7194,265.012
117.6666667,7140,264.977
117.8333333,7087,264.941
118,7015,264.894
118.1666667,6920,264.83
118.3333333,6852,264.784
118.5,6751,264.715
118.6666667,6666,264.657
118.8333333,6578,264.596
119,6491,264.535
119.1666667,6417,264.483
119.3333333,6338,264.427
119.5,6262,264.374
119.6666667,6175,264.311
119.8333333,6102,264.258
120,6019,264.198
120.1666667,5963,264.157
120.3333333,5903,264.112
120.5,5844,264.069
120.6666667,5763,264.008
120.8333333,5691,263.954
121,5627,263.905
121.1666667,5562,263.856
121.3333333,5495,263.804
121.5,5416,263.743
121.6666667,5358,263.698
121.8333333,5296,263.649
122,5241,263.606
122.1666667,5180,263.557
122.3333333,5106,263.498
122.5,5069,263.468
122.6666667,5003,263.415
122.8333333,4938,263.362
123,4866,263.302
123.1666667,4815,263.26
123.3333333,4730,263.189
123.5,4684,263.15
123.6666667,4615,263.091
123.8333333,4582,263.063
124,4541,263.028
124.1666667,4469,262.966
124.3333333,4409,262.913
124.5,4370,262.879
124.6666667,4307,262.823
124.8333333,4245,262.768
125,4233,262.757
125.1666667,4189,262.717
125.3333333,4135,262.668
125.5,4100,262.636
125.6666667,4028,262.57
125.8333333,3970,262.516
126,3958,262.505
126.1666667,3905,262.456
126.3333333,3865,262.418
126.5,3814,262.369
126.6666667,3744,262.302
126.8333333,3690,262.25
127,3653,262.214
127.1666667,3610,262.172
127.3333333,3585,262.147
127.5,3517,262.079
127.6666667,3479,262.041
127.8333333,3435,261.997
128,3410,261.971
128.1666667,3373,261.933
128.5,3332,261.891
128.6666667,3279,261.837
128.8333333,3252,261.808
129,3223,261.778
129.1666667,3187,261.74
129.3333333,3163,261.714
129.5,3135,261.684
129.6666667,3090,261.636
129.8333333,3050,261.591
130,3030,261.568
130.1666667,2993,261.526
130.5,2952,261.478
130.6666667,2925,261.447
130.8333333,2900,261.418
131,2872,261.385
131.1666667,2840,261.348
131.3333333,2821,261.325
131.5,2799,261.299
131.6666667,2775,261.271
131.8333333,2752,261.243
132,2730,261.217
132.1666667,2699,261.179
132.5,2668,261.141
132.6666667,2638,261.105
133,2607,261.066
133.1666667,2583,261.036
133.3333333,2560,261.008
133.5,2525,260.964
133.6666667,2508,260.943
134,2474,260.899
134.1666667,2457,260.877
134.6666667,2404,260.809
135,2376,260.773
135.1666667,2360,260.752
135.3333333,2340,260.726
135.5,2317,260.695
135.8333333,2296,260.667
136,2287,260.656
136.1666667,2260,260.62
136.5,2231,260.581
136.6666667,2212,260.555
136.8333333,2198,260.535
137,2187,260.52
137.5,2150,260.47
138,2116,260.423
138.1666667,2096,260.395
138.8333333,2047,260.326
139,2040,260.315
139.5,1998,260.256
140,1961,260.202
140.3333333,1933,260.161
141,1898,260.109
141.5,1860,260.053
142,1830,260.007
142.5,1802,259.965
143,1791,259.949
143.5,1812,259.98
144,1798,259.959
